iteration,n_candidates,reward_time_ms,total_time_ms
254,1164,1474.496603012085,1574.2497444152832
255,1163,1469.8033332824707,1564.7594928741455
256,1159,1463.4912014007568,1568.6211585998535
257,1158,1467.2210216522217,1563.1442070007324
258,1157,1464.4548892974854,1566.8492317199707
259,1156,1463.3278846740723,1562.7124309539795
260,1155,1448.3733177185059,1546.511173248291
261,1154,1456.9816589355469,1552.0281791687012
262,1153,1442.7306652069092,1542.1650409698486
263,1148,1455.5208683013916,1549.9067306518555
264,1147,1449.7132301330566,1547.4109649658203
265,1146,1453.8986682891846,1548.3570098876953
266,1145,1435.8489513397217,1533.4749221801758
267,1142,1454.7398090362549,1551.914930343628
268,1141,1434.772253036499,1531.935453414917
269,1135,1426.6986846923828,1520.554780960083
270,1134,1446.406602859497,1543.3850288391113
271,1133,1436.6240501403809,1530.761957168579
272,1132,1433.617115020752,1529.2675495147705
273,1131,1419.457197189331,1518.3131694793701
274,1130,1434.3364238739014,1531.6367149353027
275,1129,1433.0976009368896,1526.3278484344482
276,1128,1423.2463836669922,1519.646167755127
277,1127,1425.2111911773682,1518.5723304748535
278,1126,1415.6291484832764,1516.1445140838623
279,1125,1425.6641864776611,1518.6734199523926
280,1124,1415.2610301971436,1516.7255401611328
281,1123,1453.6716938018799,1548.912763595581
282,1122,1407.214879989624,1509.5412731170654
283,1121,1414.9603843688965,1507.523775100708
284,1120,1416.7869091033936,1517.6315307617188
285,1119,1413.0871295928955,1505.4545402526855
286,1118,1411.621332168579,1507.918119430542
287,1117,1408.6523056030273,1501.2354850769043
288,1116,1409.1358184814453,1504.7478675842285
289,1115,1427.6137351989746,1520.4951763153076
290,1114,1402.4288654327393,1498.779296875
291,1113,1407.1376323699951,1504.5371055603027
292,1112,1402.2974967956543,1498.2540607452393
293,1111,1413.8786792755127,1506.7923069000244
294,1110,1396.9037532806396,1492.2230243682861
295,1109,1399.0321159362793,1494.6212768554688
296,1108,1411.8123054504395,1511.359691619873
297,1107,1397.5658416748047,1489.870309829712
298,1106,1407.541036605835,1502.4604797363281
299,1105,1408.785104751587,1508.406162261963
300,1104,1410.2320671081543,1506.2878131866455
301,1103,1395.543098449707,1494.5027828216553
302,1102,1396.8000411987305,1496.6979026794434
303,1101,1390.3453350067139,1481.6923141479492
304,1100,1387.439250946045,1489.7541999816895
305,1099,1393.7585353851318,1490.7069206237793
306,1096,1380.0992965698242,1475.9087562561035
307,1095,1384.7706317901611,1477.5242805480957
308,1094,1379.1682720184326,1480.6900024414062
309,1093,1381.204605102539,1473.2446670532227
310,1092,1369.7645664215088,1464.8003578186035
311,1091,1380.803108215332,1475.2874374389648
312,1090,1367.5408363342285,1467.8056240081787
313,1089,1383.840799331665,1481.3108444213867
314,1088,1374.349594116211,1473.106861114502
315,1087,1371.1764812469482,1465.7506942749023
316,1086,1371.6113567352295,1472.961187362671
317,1085,1375.321865081787,1466.6922092437744
318,1084,1365.9210205078125,1460.4885578155518
319,1083,1375.0481605529785,1465.8901691436768
320,1082,1362.428903579712,1460.0436687469482
321,1079,1395.9734439849854,1486.901044845581
322,1078,1360.525131225586,1454.5960426330566
323,1077,1392.0485973358154,1486.966848373413
324,1076,1398.798942565918,1492.8371906280518
325,1075,1370.0110912322998,1460.540533065796
326,1074,1356.3730716705322,1450.5982398986816
327,1073,1354.2873859405518,1449.786901473999
328,1072,1344.46382522583,1443.6845779418945
329,1071,1363.6043071746826,1459.1350555419922
330,1070,1356.5361499786377,1454.7245502471924
331,1068,1370.9282875061035,1478.8398742675781
332,1067,1345.1697826385498,1446.721076965332
333,1066,1351.6907691955566,1441.7550563812256
334,1065,1344.6846008300781,1438.5218620300293
335,1064,1346.0884094238281,1436.9609355926514
336,1063,1341.1579132080078,1433.558464050293
337,1062,1339.341402053833,1428.0526638031006
338,1061,1345.8054065704346,1439.934492111206
339,1060,1336.385726928711,1433.4826469421387
340,1059,1333.4603309631348,1427.403211593628
341,1053,1343.7612056732178,1434.5526695251465
342,1052,1321.5925693511963,1413.2030010223389
343,1051,1328.4578323364258,1416.3429737091064
344,1049,1320.5540180206299,1415.076732635498
345,1048,1326.1454105377197,1413.952112197876
346,1047,1311.4397525787354,1403.6002159118652
347,1046,1326.019525527954,1414.4675731658936
1,810,15452.505350112915,15453.037738800049
2,809,605.4749488830566,658.074140548706
3,808,591.7613506317139,639.8952007293701
4,807,613.560676574707,664.3474102020264
5,806,605.4277420043945,653.6023616790771
6,805,610.8400821685791,661.8306636810303
7,804,618.0939674377441,666.6805744171143
8,803,578.3023834228516,638.0224227905273
9,802,590.705394744873,638.3848190307617
10,801,615.9756183624268,668.1818962097168
11,800,617.9859638214111,669.0318584442139
12,799,609.6279621124268,660.5832576751709
13,798,591.2361145019531,644.9544429779053
14,797,599.4949340820312,650.7816314697266
15,796,638.8778686523438,687.469482421875
16,795,602.7116775512695,653.3558368682861
17,794,598.9577770233154,647.5400924682617
18,793,611.0243797302246,663.3853912353516
19,792,583.7478637695312,638.7462615966797
20,791,593.8160419464111,645.8401679992676
21,790,582.1058750152588,629.6353340148926
22,789,606.0457229614258,656.2845706939697
23,788,620.2390193939209,668.3349609375
24,787,607.7563762664795,658.7045192718506
25,786,583.9052200317383,638.8192176818848
26,785,571.5670585632324,623.1429576873779
27,784,591.4821624755859,640.3892040252686
28,783,591.7232036590576,642.0271396636963
